185.53.44.124 - - [26/Jul/2015:06:29:28 +0000] "GET /rfcs/gitweb/gitweb.cgi?p=rfc.git;a=blob_plain;f=rfc30-accomplishinterval.txt;hb=HEAD HTTP/1.1" 301 727 "-" "Mozilla/5.0 (compatible; XoviBot/2.0; +http://www.xovibot.net/)"
66.249.75.152 - - [26/Jul/2015:06:30:10 +0000] "GET / HTTP/1.1" 200 3533 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
68.180.228.44 - - [26/Jul/2015:06:43:28 +0000] "GET /mon/bytes.png HTTP/1.1" 404 448 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
68.190.127.134 - - [26/Jul/2015:06:45:00 +0000] "GET / HTTP/1.1" 200 3533 "https://www.google.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.89 Safari/537.36"
68.190.127.134 - - [26/Jul/2015:06:45:00 +0000] "GET /bootstrap/css/bootstrap.min.css HTTP/1.1" 200 17588 "http://tasktools.org/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.89 Safari/537.36"
68.190.127.134 - - [26/Jul/2015:06:45:00 +0000] "GET /tw-m.png HTTP/1.1" 200 6861 "http://tasktools.org/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.89 Safari/537.36"
68.190.127.134 - - [26/Jul/2015:06:45:00 +0000] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 200 8019 "http://tasktools.org/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.89 Safari/537.36"
68.190.127.134 - - [26/Jul/2015:06:45:01 +0000] "GET /bootstrap/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23600 "http://tasktools.org/bootstrap/css/bootstrap.min.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.89 Safari/537.36"
68.190.127.134 - - [26/Jul/2015:06:45:01 +0000] "GET /favicon.ico HTTP/1.1" 200 1713 "http://tasktools.org/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.89 Safari/537.36"
185.53.44.51 - - [26/Jul/2015:06:47:48 +0000] "GET /rfcs/gitweb/gitweb.cgi?p=rfc.git;a=blob_plain;f=rfc31-urgency.txt;hb=HEAD HTTP/1.1" 301 705 "-" "Mozilla/5.0 (compatible; XoviBot/2.0; +http://www.xovibot.net/)"
77.109.141.138 - - [26/Jul/2015:06:49:37 +0000] "GET / HTTP/1.1" 200 3477 "http://burger-imperia.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 Safari/537.36"
