180.76.15.143 - - [31/May/2015:06:31:31 +0000] "GET / HTTP/1.1" 304 175 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
78.47.67.232 - - [31/May/2015:06:40:38 +0000] "POST / HTTP/1.1" 200 12625 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.72 Safari/537.36"
78.47.67.232 - - [31/May/2015:06:40:39 +0000] "POST / HTTP/1.1" 200 12625 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.72 Safari/537.36"
78.47.67.232 - - [31/May/2015:06:40:40 +0000] "POST / HTTP/1.1" 200 12625 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.72 Safari/537.36"
180.76.15.152 - - [31/May/2015:06:46:30 +0000] "GET /tinderbox/taskd.html HTTP/1.1" 404 469 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
111.118.132.238 - - [31/May/2015:07:01:51 +0000] "GET / HTTP/1.1" 200 12625 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0)"
188.165.15.233 - - [31/May/2015:07:22:39 +0000] "GET /projects/clog.html HTTP/1.1" 200 2644 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)"
66.249.75.34 - - [31/May/2015:07:32:50 +0000] "GET /httprepo/taskd.git/objects/87/9ce3c8864f6bbed7fc5dc9be87d17450a2766c HTTP/1.1" 404 546 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.75.34 - - [31/May/2015:07:42:35 +0000] "GET /projects/clog/clog-set12.png HTTP/1.1" 304 189 "-" "Googlebot-Image/1.0"
66.249.75.26 - - [31/May/2015:07:42:42 +0000] "GET /projects/clog/clog-set1.png HTTP/1.1" 200 8965 "-" "Googlebot-Image/1.0"
207.46.13.136 - - [31/May/2015:07:45:14 +0000] "GET /projects/vitapi.html HTTP/1.1" 200 2051 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.75.34 - - [31/May/2015:08:03:07 +0000] "GET / HTTP/1.1" 200 3533 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.75.18 - - [31/May/2015:08:43:20 +0000] "GET /projects/clog/clog-rule3.png HTTP/1.1" 200 12353 "-" "Googlebot-Image/1.0"
